Id,Antal arter,Antal observationer,Centre coordinate X (SWEREF99_TM),Centre coordinate Y (SWEREF99_TM),Centre coordinate X (GoogleMercator),Centre coordinate Y (GoogleMercator),Grid cell width (metres)
SRID3006SIZE10000E195000N7595000,0,0,195000,7595000,845180.8164,10537636.26,10000
SRID3006SIZE10000E195000N7605000,0,0,195000,7605000,841934.9361,10564468.67,10000
SRID3006SIZE10000E195000N7615000,0,0,195000,7615000,838661.5269,10591404.35,10000
SRID3006SIZE10000E195000N7625000,0,0,195000,7625000,835360.249,10618444.16,10000
SRID3006SIZE10000E195000N7635000,0,0,195000,7635000,832030.7566,10645588.94,10000
SRID3006SIZE10000E195000N7645000,0,0,195000,7645000,828672.6986,10672839.58,10000
SRID3006SIZE10000E195000N7655000,0,0,195000,7655000,825285.7179,10700196.95,10000
SRID3006SIZE10000E195000N7665000,0,0,195000,7665000,821869.4514,10727661.94,10000
SRID3006SIZE10000E195000N7675000,0,0,195000,7675000,818423.53,10755235.46,10000
SRID3006SIZE10000E195000N7685000,0,0,195000,7685000,814947.5782,10782918.41,10000
SRID3006SIZE10000E195000N7695000,0,0,195000,7695000,811441.2145,10810711.72,10000
SRID3006SIZE10000E195000N7705000,0,0,195000,7705000,807904.0507,10838616.33,10000
SRID3006SIZE10000E195000N7715000,0,0,195000,7715000,804335.6919,10866633.18,10000
SRID3006SIZE10000E195000N7725000,0,0,195000,7725000,800735.7368,10894763.22,10000
SRID3006SIZE10000E195000N7735000,0,0,195000,7735000,797103.7769,10923007.44,10000
SRID3006SIZE10000E205000N6025000,0,0,205000,6025000,1165157.835,7224805.122,10000
SRID3006SIZE10000E205000N6035000,0,0,205000,6035000,1164057.405,7241909.668,10000
SRID3006SIZE10000E205000N6045000,0,0,205000,6045000,1162950.934,7259051.089,10000
SRID3006SIZE10000E205000N6055000,0,0,205000,6055000,1161838.377,7276229.587,10000
SRID3006SIZE10000E205000N6065000,0,0,205000,6065000,1160719.688,7293445.365,10000
SRID3006SIZE10000E205000N6075000,0,0,205000,6075000,1159594.821,7310698.625,10000
SRID3006SIZE10000E205000N6085000,0,0,205000,6085000,1158463.73,7327989.574,10000
SRID3006SIZE10000E205000N6095000,0,0,205000,6095000,1157326.369,7345318.419,10000
SRID3006SIZE10000E205000N6105000,0,0,205000,6105000,1156182.689,7362685.368,10000
SRID3006SIZE10000E205000N6115000,0,0,205000,6115000,1155032.643,7380090.63,10000
SRID3006SIZE10000E205000N6125000,0,0,205000,6125000,1153876.184,7397534.418,10000
SRID3006SIZE10000E205000N6135000,0,0,205000,6135000,1152713.261,7415016.945,10000
SRID3006SIZE10000E205000N6145000,0,0,205000,6145000,1151543.827,7432538.426,10000
SRID3006SIZE10000E205000N6155000,0,0,205000,6155000,1150367.83,7450099.077,10000
SRID3006SIZE10000E205000N6165000,0,0,205000,6165000,1149185.221,7467699.115,10000
SRID3006SIZE10000E205000N6175000,0,0,205000,6175000,1147995.949,7485338.762,10000
SRID3006SIZE10000E205000N6185000,0,0,205000,6185000,1146799.963,7503018.237,10000
SRID3006SIZE10000E205000N6195000,0,0,205000,6195000,1145597.21,7520737.764,10000
SRID3006SIZE10000E205000N6205000,0,0,205000,6205000,1144387.638,7538497.568,10000
SRID3006SIZE10000E205000N6215000,0,0,205000,6215000,1143171.195,7556297.875,10000
SRID3006SIZE10000E205000N6225000,0,0,205000,6225000,1141947.826,7574138.914,10000
SRID3006SIZE10000E205000N6235000,0,0,205000,6235000,1140717.478,7592020.914,10000
SRID3006SIZE10000E205000N6245000,0,0,205000,6245000,1139480.096,7609944.106,10000
SRID3006SIZE10000E205000N6255000,0,0,205000,6255000,1138235.624,7627908.726,10000
SRID3006SIZE10000E205000N6265000,0,0,205000,6265000,1136984.007,7645915.006,10000
SRID3006SIZE10000E205000N6275000,0,0,205000,6275000,1135725.189,7663963.186,10000
SRID3006SIZE10000E205000N6285000,0,0,205000,6285000,1134459.112,7682053.503,10000
SRID3006SIZE10000E205000N6295000,0,0,205000,6295000,1133185.718,7700186.199,10000
SRID3006SIZE10000E205000N6305000,0,0,205000,6305000,1131904.949,7718361.516,10000
SRID3006SIZE10000E205000N6315000,0,0,205000,6315000,1130616.747,7736579.699,10000
SRID3006SIZE10000E205000N6325000,0,0,205000,6325000,1129321.052,7754840.994,10000
SRID3006SIZE10000E205000N6335000,0,0,205000,6335000,1128017.804,7773145.65,10000
SRID3006SIZE10000E205000N6345000,0,0,205000,6345000,1126706.941,7791493.917,10000
SRID3006SIZE10000E205000N6355000,0,0,205000,6355000,1125388.402,7809886.048,10000
SRID3006SIZE10000E205000N6365000,0,0,205000,6365000,1124062.126,7828322.297,10000
SRID3006SIZE10000E205000N6375000,0,0,205000,6375000,1122728.048,7846802.92,10000
SRID3006SIZE10000E205000N6385000,0,0,205000,6385000,1121386.106,7865328.176,10000
SRID3006SIZE10000E205000N6395000,0,0,205000,6395000,1120036.236,7883898.326,10000
SRID3006SIZE10000E205000N6405000,0,0,205000,6405000,1118678.372,7902513.632,10000
SRID3006SIZE10000E205000N6415000,0,0,205000,6415000,1117312.449,7921174.359,10000
SRID3006SIZE10000E205000N6425000,0,0,205000,6425000,1115938.4,7939880.774,10000
SRID3006SIZE10000E205000N6435000,0,0,205000,6435000,1114556.158,7958633.146,10000
SRID3006SIZE10000E205000N6445000,0,0,205000,6445000,1113165.655,7977431.746,10000
SRID3006SIZE10000E205000N6455000,0,0,205000,6455000,1111766.823,7996276.848,10000
SRID3006SIZE10000E205000N6465000,0,0,205000,6465000,1110359.591,8015168.727,10000
SRID3006SIZE10000E205000N6475000,0,0,205000,6475000,1108943.891,8034107.662,10000
SRID3006SIZE10000E205000N6485000,0,0,205000,6485000,1107519.651,8053093.932,10000
SRID3006SIZE10000E205000N6495000,0,0,205000,6495000,1106086.798,8072127.821,10000
SRID3006SIZE10000E205000N6505000,0,0,205000,6505000,1104645.261,8091209.612,10000
SRID3006SIZE10000E205000N6515000,0,0,205000,6515000,1103194.966,8110339.594,10000
SRID3006SIZE10000E205000N6525000,0,0,205000,6525000,1101735.838,8129518.056,10000
SRID3006SIZE10000E205000N6535000,0,0,205000,6535000,1100267.803,8148745.289,10000
SRID3006SIZE10000E205000N6545000,0,0,205000,6545000,1098790.784,8168021.59,10000
SRID3006SIZE10000E205000N6555000,0,0,205000,6555000,1097304.705,8187347.253,10000
SRID3006SIZE10000E205000N6565000,0,0,205000,6565000,1095809.488,8206722.58,10000
SRID3006SIZE10000E205000N6575000,0,0,205000,6575000,1094305.054,8226147.871,10000
SRID3006SIZE10000E205000N6585000,0,0,205000,6585000,1092791.323,8245623.432,10000
SRID3006SIZE10000E205000N6595000,0,0,205000,6595000,1091268.215,8265149.569,10000
SRID3006SIZE10000E205000N6605000,0,0,205000,6605000,1089735.649,8284726.593,10000
SRID3006SIZE10000E205000N6615000,0,0,205000,6615000,1088193.542,8304354.815,10000
SRID3006SIZE10000E205000N6625000,0,0,205000,6625000,1086641.81,8324034.55,10000
SRID3006SIZE10000E205000N6635000,0,0,205000,6635000,1085080.37,8343766.117,10000
SRID3006SIZE10000E205000N6645000,0,0,205000,6645000,1083509.136,8363549.835,10000
SRID3006SIZE10000E205000N6655000,0,0,205000,6655000,1081928.022,8383386.029,10000
SRID3006SIZE10000E205000N6665000,0,0,205000,6665000,1080336.94,8403275.023,10000
SRID3006SIZE10000E205000N6675000,0,0,205000,6675000,1078735.802,8423217.148,10000
SRID3006SIZE10000E205000N6685000,0,0,205000,6685000,1077124.518,8443212.733,10000
SRID3006SIZE10000E205000N6695000,0,0,205000,6695000,1075502.998,8463262.115,10000
SRID3006SIZE10000E205000N6705000,0,0,205000,6705000,1073871.15,8483365.63,10000
SRID3006SIZE10000E205000N6715000,0,0,205000,6715000,1072228.882,8503523.62,10000
SRID3006SIZE10000E205000N6725000,0,0,205000,6725000,1070576.099,8523736.427,10000
SRID3006SIZE10000E205000N6735000,0,0,205000,6735000,1068912.706,8544004.398,10000
SRID3006SIZE10000E205000N6745000,0,0,205000,6745000,1067238.608,8564327.882,10000
SRID3006SIZE10000E205000N6755000,0,0,205000,6755000,1065553.707,8584707.233,10000
SRID3006SIZE10000E205000N6765000,0,0,205000,6765000,1063857.904,8605142.805,10000
SRID3006SIZE10000E205000N6775000,0,0,205000,6775000,1062151.1,8625634.959,10000
SRID3006SIZE10000E205000N6785000,0,0,205000,6785000,1060433.194,8646184.056,10000
SRID3006SIZE10000E205000N6795000,0,0,205000,6795000,1058704.084,8666790.462,10000
SRID3006SIZE10000E205000N6805000,0,0,205000,6805000,1056963.665,8687454.545,10000
SRID3006SIZE10000E205000N6815000,0,0,205000,6815000,1055211.834,8708176.677,10000
SRID3006SIZE10000E205000N6825000,0,0,205000,6825000,1053448.484,8728957.234,10000
SRID3006SIZE10000E205000N6835000,0,0,205000,6835000,1051673.508,8749796.595,10000
SRID3006SIZE10000E205000N6845000,0,0,205000,6845000,1049886.798,8770695.142,10000
SRID3006SIZE10000E205000N6855000,0,0,205000,6855000,1048088.242,8791653.261,10000
SRID3006SIZE10000E205000N6865000,0,0,205000,6865000,1046277.73,8812671.341,10000
SRID3006SIZE10000E205000N6875000,0,0,205000,6875000,1044455.148,8833749.775,10000
SRID3006SIZE10000E205000N6885000,0,0,205000,6885000,1042620.383,8854888.96,10000
SRID3006SIZE10000E205000N6895000,0,0,205000,6895000,1040773.318,8876089.296,10000
SRID3006SIZE10000E205000N6905000,0,0,205000,6905000,1038913.837,8897351.186,10000
SRID3006SIZE10000E205000N6915000,0,0,205000,6915000,1037041.82,8918675.039,10000
SRID3006SIZE10000E205000N6925000,0,0,205000,6925000,1035157.148,8940061.266,10000
SRID3006SIZE10000E205000N6935000,0,0,205000,6935000,1033259.698,8961510.282,10000
SRID3006SIZE10000E205000N6945000,0,0,205000,6945000,1031349.346,8983022.507,10000
SRID3006SIZE10000E205000N6955000,0,0,205000,6955000,1029425.969,9004598.364,10000
SRID3006SIZE10000E205000N6965000,0,0,205000,6965000,1027489.44,9026238.279,10000
SRID3006SIZE10000E205000N6975000,0,0,205000,6975000,1025539.629,9047942.685,10000
SRID3006SIZE10000E205000N6985000,0,0,205000,6985000,1023576.407,9069712.016,10000
SRID3006SIZE10000E205000N6995000,0,0,205000,6995000,1021599.643,9091546.713,10000
SRID3006SIZE10000E205000N7005000,0,0,205000,7005000,1019609.203,9113447.218,10000
SRID3006SIZE10000E205000N7015000,0,0,205000,7015000,1017604.952,9135413.98,10000
